label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
neg,1024,9271848,536447,7642021,419500,62,0.07071705682984568,0.12138061938796298,0.23608035702561295,0.12050270381042559,0.3803169716952127
neg,2048,10449451,2563287,8243939,555796,37,0.019154055761162254,0.08250165459484034,0.20411167410068892,0.22989545782939472,0.03092947870658709
neg,4096,10510968,10652306,7713693,403496,41,0.053871184313265374,0.006048499368007409,0.2155237270932524,0.013328244489981367,0.1375703395905805
neg,8192,10338661,33420076,6579548,400677,45,0.006598277947521936,0.004771432617728647,0.009101583190424159,0.015009540851750856,0.12060373461210443
reduce_min,64,12260548,21721,7332276,442845,25,0.31113576814578614,0.025987971124038882,0.09857873528625527,0.12421717727529376,0.13856406460551018
reduce_min,128,11966521,96212,10151607,516907,27,0.18050480222742912,0.16494501022937455,0.36732359946165544,0.14054473367667086,0.08449028329604279
reduce_min,256,12975802,371155,8006406,540973,24,0.0767112227771982,0.3020607600362447,0.23757522594742198,0.27503162124514413,0.1502313031443329
reduce_min,512,10146644,932340,6961447,562080,28,0.12005641283249102,0.02289459391916467,0.09755667926191569,0.1716466986265449,0.05391265523477459
reduce_min,1024,10218052,3629733,6742657,436901,24,0.018284549871226442,0.0024743063781381192,0.09636231834398155,0.1050995171927596,0.08554791778627943
reduce_min,2048,10141118,14762532,7183010,571024,25,0.13520404089648624,0.01966584576706466,0.1035962764253311,0.3082140276387501,0.11395071102426824
reduce_min,4096,9828961,53629116,6674291,469165,27,0.08309486966507695,0.10616755927334205,0.09327427658294847,0.06714273879526174,0.07524093973973973
reduce_min,8192,10596450,213455934,8793991,459149,27,0.041603001452120335,0.10589073325400551,0.36860295351447214,0.037600440323238525,0.16972502573910517
and,64,10989037,3107,12155013,1032276,70,0.05482320954602765,0.04468578844823885,0.06840627177625899,0.02829681832583878,0.07559289460184544
and,128,18340797,5383,13166263,905812,68,0.45554122140807224,0.5050359254459549,0.12733594370540743,0.03740016450487409,0.10983736828485564
and,256,12309623,10795,12458939,979178,75,0.22706943767349,0.3451593480083939,0.2481386176690471,0.12207845549138176,0.03325918253423237
and,512,12607045,28517,13029883,948608,74,0.24029729560565719,0.1966801610237198,0.19259522657492995,0.09540159263398362,0.07409287731775026
and,1024,10344730,128411,13246600,1040588,66,0.06912749953663877,0.06622688647712595,0.13446542710958076,0.026426850633099547,0.12402049654352197
and,2048,10245238,500440,15069929,857875,68,0.010604700513129355,0.14559017283682357,0.29859320932615196,0.019228962516895834,0.036828460659857315
and,4096,10579717,2510955,12225877,905785,99,0.013196438003927268,0.15539844111657325,0.06496950089076071,0.11946761294625391,0.45542703841319654
and,8192,10091971,9760024,14984729,910052,70,0.026847106046447383,0.005334863150035422,0.36954339682852083,0.09333441066688761,0.024743582965269673
floor,64,11171585,8651,8442833,506230,40,0.17659942186417282,0.09382478765129873,0.10965457404889106,0.19286762208297295,0.1673817857103454
floor,128,12528661,26566,7054930,528120,44,0.4528990164268526,0.21531879171804674,0.11240458856803555,0.1573363705149436,0.05209175361109405
floor,256,9835553,92560,6563524,420747,38,0.14834426463971392,0.10449110064731766,0.02577411191632512,0.11853760163028838,0.19752724681044428
floor,512,8788042,335692,7018999,581410,47,0.044945061763893956,0.1311239499498477,0.10026927018295306,0.2903907392538568,0.2358002139872359
floor,1024,9206406,1277456,7568817,485233,40,0.07614085445140384,0.1353026244326994,0.11287972323847441,0.02387729482150894,0.07574505280918743
